,scientific,common
81,N=Acanthophlebia cruentata,C=Mayfly
82,N=Acantholipes circumdata,C=Moth
83,N=Acar domingensis,C=White miniature ark
84,N=Acanthus ebracteatus,C=Holly-leaved mangrove
85,N=Acanthodactylus erythrurus,C=Spanish fringe-toed lizard
86,N=Acanella eburnea,C=Bamboo coral
87,N=Acanthis flammea,C=Common redpoll
88,N=Acanthoscurria gomesiana,C=Tarantula spider
89,N=Acar gradata,C=Ark clam
90,N=Acanthurus guttatus,C=Whitespotted surgeonfish
91,N=Acanthis hornemanni,C=Arctic redpoll
92,N=Acanthiza katherina,C=Mountain thornbill
93,N=Acanthopagrus latus,C=Yellowfin seabream
94,N=Acanthurus leucosternon,C=Powderblue surgeonfish
95,N=Acanthurus lineatus,C=Lined surgeonfish
96,N=Acalolepta luxuriosa,C=Udo longhorn beetle
97,N=Acaryochloris marina (strain MBIC 11017),unknown
98,N=Acanthophippium mantinianum,C=Orchid
99,N=Acanthemblemaria maria,C=Secretary blenny
100,N=Acacia mangium,C=Back wattle
101,N=Acaryochloris marina,unknown
102,N=Acacia myrtifolia,C=Myrtle wattle
103,N=Acanthoscurria natalensis,C=Tarantula spider
104,N=Acanthurus nigricans,C=Whitecheek surgeonfish
105,N=Acanthurus nigrofuscus,C=Brown surgeonfish
106,N=Acanthurus nigroris,C=Bluelined surgeonfish
107,N=Acanthoscelides obtectus,C=Bean weevil
108,N=Acanthoscelides obvelatus,C=Bean weevil
109,N=Acanthoscurria paulensis,C=Brazilian giant black tarantula spider
110,N=Acartia pacifica,C=Copepod
111,N=Acanthodiaptomus pacificus,C=Copepod
112,N=Acanthodoris pilosa,C=Hairy spiny doris
113,N=Acanthaster planci,C=Crown-of-thorns starfish
114,N=Acanthamoeba polyphaga,C=Amoeba
115,N=Acar plicata,C=Ark clam
116,N=Acalypha rhomboidea,C=Rhombic three-seeded mercury
117,N=Acanthoscurria rondoniae,C=Spider
118,N=Acanthagenys rufogularis,C=Spiny-cheeked honeyeater
119,N=Acanthemblemaria aspera,C=Roughhead blenny
120,N=Acanthopagrus schlegelii,C=Black porgy
121,N=Acanthophis rugosus,C=Irian Jayan death adder
122,N=Acarus siro,C=Flour mite
123,N=Acanthemblemaria spinosa,C=Spinyhead blenny
124,N=Acanthocybium solandri,C=Wahoo
125,N=Acanthinucella spirata,C=California marine snail
126,N=Acanthophis sp. (strain Seram),C=Seram death adder
127,N=Acanthurus thompsoni,C=Thompson's surgeonfish
128,N=Acartia tonsa,C=Copepod
129,N=Acanthurus triostegus,C=Convict surgeonfish
130,N=Acanthocardia tuberculata,C=Rough cockle
131,N=Acanthopteroctetes unifascia,C=Moth
132,N=Acanthocheilonema viteae,C=Filarial nematode worm
133,N=Acalymma vittatum,C=Striped cucumber beetle
134,N=Acarapis woodi,C=Honey bee tracheal mite
135,N=Accipiter cooperii,C=Cooper's hawk
136,N=Accipiter gentilis,C=Northern goshawk
137,N=Accumulibacter regalis,unknown
138,N=Accipiter striatus,C=Sharp-shinned hawk
139,N=Acetobacter aceti,unknown
140,N=Acetabularia acetabulum,C=Mermaid's wine glass
141,N=Acetothermus autotrophicum,unknown
142,N=Acetohalobium arabaticum (strain ATCC 49924 / DSM 5501 / Z-7288),unknown
143,N=Acer buergerianum,C=Trident maple
144,N=Acer campestre,C=Field maple
145,N=Acetivibrio clariflavus (strain DSM 19732 / NBRC 101661 / EBR45),unknown
146,N=Acentrogobius chlorostigmatoides,C=Greenspot goby
147,N=Acetabularia crenulata,C=White mermaid's wine glass
148,N=Acentrogobius janthinopterus,C=Robust mangrove goby
149,N=Acerodon jubatus,C=Golden-capped fruit bat
150,N=Acetomicrobium mobile (strain ATCC BAA-54 / DSM 13181 / JCM 12221 / NGA),unknown
151,N=Acer monspessulanum,C=Montpellier maple
152,N=Acer negundo,C=Box elder
153,N=Acer opalus,C=Italian maple
154,N=Acetobacter pasteurianus (strain NBRC 105184 / IFO 3283-01),unknown
155,N=Acetobacter pasteurianus,unknown
156,N=Acetabularia peniculus,C=Green alga
157,N=Acentrogobius pflaumii,C=Striped sandgoby
158,N=Acer platanoides,C=Norway maple
159,N=Acer palmatum,C=Japanese maple
160,N=Acer pensylvanicum,C=Goosefoot maple
161,N=Acer pseudoplatanus,C=Sycamore maple
162,N=Acer rubrum,C=Red maple
163,N=Acer saccharum,C=Sugar maple
164,N=Acer saccharinum,C=Silver maple
165,N=Acetoanaerobium sticklandii (strain ATCC 12662 / DSM 519 / JCM 1433 / CCUG 9281 / NCIMB 10654 / HF),unknown
166,N=Acer spicatum,C=Moose maple
167,N=Acetoanaerobium sticklandii,unknown
168,N=Acetivibrio thermocellus (strain DSM 1313 / LMG 6656 / LQ8),unknown
169,N=Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),unknown
170,N=Acetivibrio thermocellus,C=Hungateiclostridium thermocellum
171,N=Acetobacterium woodii (strain ATCC 29683 / DSM 1030 / JCM 2381 / KCTC 1655 / WB1),unknown
172,N=Acetobacterium woodii,unknown
173,N=Achatina achatina,C=Giant Ghana snail
174,N=Achimenes admirabilis,C=Monkey faced pansy
175,N=Achromobacter aegrifaciens,unknown
176,N=Achlya ambisexualis,C=Water mold
177,N=Achyranthes arborescens,C=Chaff tree
178,N=Achlya bisexualis,C=Water mold
179,N=Achelia bituberculata,C=Sea spider
180,N=Achlyodes busirus,C=Giant sicklewing skipper
181,N=Acheilognathus chankaensis,C=Khanka spiny bitterling
182,N=Achipteria coleoptrata,C=Oribatid mite
183,N=Achromobacter cycloclastes,unknown
184,N=Achromobacter denitrificans,unknown
185,N=Acheta domesticus,C=House cricket
186,N=Achelia echinata,C=Sea spider
187,N=Achaea janata,C=Castor semi-looper moth
188,N=Achlya klebsiana,unknown
189,N=Acholeplasma laidlawii,unknown
190,N=Acholeplasma laidlawii (strain PG-8A),unknown
191,N=Achirus lineatus,C=Lined sole
192,N=Achromobacter lyticus,unknown
193,N=Acheilognathus macropterus,C=Deep body bitterling
194,N=Achalinus meiguensis,C=Sichuan odd-scaled snake
195,N=Achillea millefolium,C=Yarrow
196,N=Achromobacter obae,unknown
197,N=Achondrostoma oligolepis,C=Ruivaco
198,N=Achromobacter sp. (strain LBAA),unknown
199,N=Acharia tragodes,unknown
200,N=Achlys triphylla,C=Vanilla leaf
201,N=Achromobacter xylosoxidans (strain A8),unknown
202,N=Acidipropionibacterium acidipropionici (strain ATCC 4875 / DSM 20272 / JCM 6432 / NBRC 12425 / NCIMB 8070 / 4),unknown
203,N=Acidovorax citrulli (strain AAC00-1),unknown
204,N=Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),unknown
205,N=Acidovorax citrulli,unknown
206,N=Acidianus ambivalens,unknown
207,N=Acinetobacter calcoaceticus subsp. anitratus,unknown
208,N=Acidiphilium acidophilum,unknown
209,N=Acidovorax avenae (strain ATCC 19860 / DSM 7227 / CCUG 15838 / JCM 20985 / LMG 2117 / NCPPB 1011),unknown
210,N=Aciphylla aurea,C=Golden speargrass
211,N=Acinetobacter baumannii (strain 1656-2),unknown
212,N=Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81),unknown
213,N=Acinetobacter baumannii (strain AB307-0294),unknown
214,N=Aciduliprofundum boonei (strain DSM 19572 / T469),unknown
215,N=Acinetobacter baumannii (strain AB0057),unknown
216,N=Acinetobacter baumannii (strain 532279),unknown
217,N=Acinetobacter baumannii (strain 1295743),unknown
218,N=Acinetobacter baumannii,unknown
219,N=Acinetobacter baumannii (strain ACICU),unknown
220,N=Acinetobacter baumannii (strain TCDC-AB0715),unknown
221,N=Acipenser baerii,C=Siberian sturgeon
222,N=Acinetobacter baylyi,unknown
223,N=Acinetobacter baumannii (strain MDR-ZJ06),unknown
224,N=Acipenser brevirostrum,C=Shortnose sturgeon
225,N=Acinetobacter baumannii (strain SDF),unknown
226,N=Acinetobacter baumannii (strain ATCC 17978 / CIP 53.77 / LMG 1025 / NCDC KC755 / 5377),unknown
227,N=Acinetobacter baumannii (strain AYE),unknown
228,N=Acinetobacter bereziniae,unknown
229,N=Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),unknown
230,N=Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / BCRC 80197 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161),unknown
231,N=Acinetobacter calcoaceticus,unknown
232,N=Acidothermus cellulolyticus,unknown
233,N=Acineta chrysantha,C=Orchid
234,N=Acidiphilium cryptum (strain JF-5),unknown
235,N=Acidithiobacillus caldus (strain ATCC 51756 / DSM 8584 / KU),unknown
236,N=Acinetobacter calcoaceticus (strain PHEA-2),unknown
237,N=Acinetospora crinita,C=Brown alga
238,N=Acidithiobacillus caldus (strain SM-1),unknown
239,N=Acidiphilium cryptum,unknown
240,N=Acipenser dabryanus,C=Yangtze sturgeon
241,N=Acidovorax delafieldii,unknown
242,N=Acidovorax ebreus (strain TPSY),unknown
243,N=Acidithiobacillus ferrooxidans (strain ATCC 23270 / DSM 14882 / CIP 104768 / NCIMB 8455),unknown
244,N=Acidithiobacillus ferrooxidans (strain ATCC 53993 / BNL-5-31),unknown
245,N=Acidocella facilis,unknown
246,N=Acidimicrobium ferrooxidans (strain DSM 10331 / JCM 15462 / NBRC 103882 / ICP),unknown
247,N=Acidaminococcus fermentans,unknown
248,N=Acidithiobacillus ferridurans,unknown
249,N=Acidithiobacillus ferrooxidans,unknown
250,N=Acipenser fulvescens,C=Lake sturgeon
251,N=Acidaminococcus fermentans (strain ATCC 25085 / DSM 20731 / CCUG 9996 / CIP 106432 / VR4),unknown
252,N=Acinetobacter genomosp. 13,unknown
253,N=Acinetobacter genomosp. 6,unknown
254,N=Acinetobacter guillouiae,unknown
255,N=Acinetobacter glutaminasificans,unknown
256,N=Acipenser gueldenstaedtii,C=Russian sturgeon
257,N=Acinetobacter haemolyticus,unknown
258,N=Acidianus hospitalis (strain W1),unknown
259,N=Acidianus infernus,unknown
260,N=Acidaminococcus intestini (strain RyC-MR95),unknown
261,N=Acinonyx jubatus,C=Cheetah
262,N=Acinetobacter johnsonii,unknown
263,N=Acinetobacter junii,unknown
264,N=Acinetobacter lwoffii,unknown
265,N=Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / NBRC 100883 / AIU 301),unknown
266,N=Acipenser medirostris,C=Green sturgeon
267,N=Acipenser mikadoi,C=Sakhalin sturgeon
268,N=Acidomonas methanolica,unknown
269,N=Acidiphilium multivorum,unknown
270,N=Acipenser naccarii,C=Adriatic sturgeon
271,N=Acinetobacter nosocomialis,unknown
272,N=Acipenser nudiventris,C=Fringebarbel sturgeon
273,N=Acidiphilium organovorum,unknown
274,N=Acipenser oxyrinchus,C=Atlantic sturgeon
275,N=Acisoma panorpoides,C=Trumpet tail dragonfly
276,N=Acipenser persicus,C=Persian sturgeon
277,N=Acinetobacter pittii,unknown
278,N=Acinetobacter radioresistens,unknown
279,N=Acipenser ruthenus,C=Sterlet sturgeon
280,N=Acidiphilium rubrum,unknown
281,N=Aciduliprofundum sp. (strain MAR08-339),unknown
282,N=Acidianus sp. (strain A1-3),unknown
283,N=Acinetobacter sp. (strain ATCC 27244 / 9458),unknown
284,N=Acidilobus saccharovorans (strain DSM 16705 / JCM 18335 / VKM B-2471 / 345-15),unknown
285,N=Acidibacillus sulfuroxidans,unknown
286,N=Acinetobacter sp. (strain Tol 5),unknown
287,N=Acinetobacter sp. (strain ATCC 33308 / BD413 ErpE27),unknown
288,N=Acinetobacter sp. (strain SEIP 12.81),unknown
289,N=Acinetobacter sp. (strain T4),unknown
290,N=Acinetobacter sp. (strain AK226),unknown
291,N=Acidaminococcus sp. (strain BV3L6),unknown
292,N=Acipenser schrenckii,C=Amur sturgeon
293,N=Acinetobacter oleivorans (strain JCM 16667 / KCTC 23045 / DR1),unknown
294,N=Acinetobacter sp. (strain ED45-25),unknown
295,N=Acipenser sinensis,C=Chinese sturgeon
296,N=Acidovorax sp. (strain JS42),unknown
297,N=Acilius sulcatus,C=Lesser diving beetle
298,N=Acinetobacter sp.,unknown
299,N=Acinetobacter sp. (strain RA3849),unknown
300,N=Acinetobacter sp. (strain SE19),unknown
301,N=Acipenser stellatus,C=Sevruga
302,N=Acipenser sturio,C=Atlantic sturgeon
303,N=Acidithiobacillus thiooxidans,unknown
304,N=Acipenser transmontanus,C=White sturgeon
305,N=Acizzia uncatoides,C=Acacia psyllid
306,N=Acinetobacter venetianus (strain ATCC 31012 / DSM 23050 / BCRC 14357 / CCUG 45561 / CIP 110063 / KCTC 2702 / LMG 19082 / RAG-1),unknown
307,N=Acipenser ruthenus x Huso huso,C=Bester sturgeon
308,N=Aclytia heber,C=Moth
309,N=Apple chlorotic leaf spot virus (isolate apple),C=ACLSV
310,N=Apple chlorotic leaf spot virus (isolate plum P863),C=ACLSV
311,N=Acmispon americanus,C=American bird's-foot trefoil
312,N=Acmaea mitra,C=Whitecap limpet
313,N=Acmella radicans,C=Creeping spotflower
314,N=Acorus americanus,C=Sweetflag
315,N=Acosmeryx anceus,C=Hawk moth
316,N=Acomys cahirinus,C=Cairo spiny mouse
317,N=Acossus centerensis,C=Poplar carpenterworm moth
318,N=Acorus calamus,C=Sweet flag
319,N=Aconitum carmichaelii,C=Carmichael's monkshood
320,N=Aconitum coreanum,C=Korean monkshood
321,N=Acontias cregoi,C=Cregoe's legless skink
322,N=Acorus gramineus,C=Dwarf sweet flag
323,N=Acomys ignitus,C=Fiery spiny mouse
324,N=Acontias lineatus,C=Striped legless skink
325,N=Acontia lucida,C=Pale shoulder
326,N=Acontias meleagris,C=Cape legless skink
327,N=Acomys minous,C=Crete spiny mouse
328,N=Aconitum napellus,C=Monkshood
329,N=Acontias orientalis,C=Linnaeus' lance skink
330,N=Acontias percivali,C=Percival's legless lizard
331,N=Acomys percivali,C=Percival's spiny mouse
332,N=Acontias rieppeli,C=Wood-bush legless skink
333,N=Acomys russatus,C=Golden spiny mouse
334,N=Acontias tristis,C=Striped legless skink
335,N=Acomys wilsoni,C=Wilson's spiny mouse
336,N=Acoelorraphe wrightii,C=Everglades palm
337,N=Acronychia acidula,C=Lemon aspen
338,N=Acrocomia aculeata,C=Macaw palm
339,N=Acropora aspera,C=Staghorn coral
340,N=Acrocephalus arundinaceus,C=Great reed-warbler
341,N=Acrolepiopsis assectella,C=Leek moth
342,N=Acrosiphonia arcta,C=Green alga
343,N=Acrostichum aureum,C=Golden leather fern
344,N=Acrocephalus brevipennis,C=Cape Verde swamp-warbler
345,N=Acremonium chrysogenum (strain ATCC 11550 / CBS 779.69 / DSM 880 / IAM 14645 / JCM 23072 / IMI 49137),unknown
346,N=Acroneuria carolinensis,C=Carolina stonefly
347,N=Acropora cervicornis,C=Staghorn coral
348,N=Acremonium chrysogenum,unknown
349,N=Acrida cinerea,C=Chinese grasshopper
350,N=Acridotheres cristatellus,C=Crested myna
351,N=Acronicta dactylina,C=Fingered dagger moth
352,N=Acropora digitifera,C=Staghorn coral
353,N=Acropora donei,C=Staghorn coral
354,N=Acrantophis dumerili,C=Dumeril's ground boa
355,N=Acromyrmex echinatior,C=Panamanian leafcutter ant
356,N=Acremonium egyptiacum,unknown
357,N=Acrossocheilus fasciatus,unknown
358,N=Acropora formosa,C=Staghorn coral
359,N=Acrochordus granulatus,C=Rasp-skinned water snake
360,N=Acrosternum hilare,C=Green stink bug
361,N=Acropora humilis,C=Finger staghorn coral
362,N=Acrochordus javanicus,C=Javan wart snake
363,N=Acropoma japonicum,C=Glowbelly
364,N=Acrocinus longimanus,C=Giant harlequin beetle
365,N=Acropora loripes,C=Staghorn coral
366,N=Acrantophis madagascariensis,C=Madagascar ground boa
367,N=Acrocephalus mendanae,C=Marquesan reed-warbler
368,N=Acropora millepora,C=Staghorn coral
369,N=Acropora nasuta,C=Staghorn coral
370,N=Acrocephalus orinus,C=Large-billed reed-warbler
371,N=Acrocephalus orientalis,C=Oriental great reed warbler
372,N=Acrocephalus paludicola,C=Aquatic warbler
373,N=Acrossocheilus paradoxus,C=Taiwan torrent carp
374,N=Acropora palmata,C=Elkhorn coral
375,N=Acropora prolifera,C=Fused staghorn coral
376,N=Acritoscincus platynotus,C=Red-throated cool-skink
377,N=Acrobates pygmaeus,C=Feathertail glider
378,N=Acropora robusta,C=Staghorn coral
379,N=Acrasis rosea,unknown
380,N=Acrocephalus scirpaceus,C=Eurasian reed-warbler
381,N=Acrosiphonia sonderi,C=Green alga
382,N=Acremonium sp.,unknown
383,N=Acrocephalus stentoreus,C=Clamorous reed-warbler
384,N=Acroclita subsequana,C=Coast spurge bell
385,N=Acratocnus sp. (strain SLP-2019),C=Ground sloth
386,N=Acrossidius tasmaniae,C=Tasmanian grass grub
387,N=Acropora tenuis,C=Purple tipped acropora
388,N=Acreichthys tomentosus,C=Bristle-tail file-fish
389,N=Acropora valida,C=Staghorn coral
390,N=Acryllium vulturinum,C=Vulturine guineafowl
391,N=Acrida willemsei,C=Short-horned grasshopper
392,N=Acratocnus ye,C=Hispaniolan ground sloth
393,N=Actophilornis africanus,C=African jacana
394,N=Actinidia arguta,C=Tara vine
395,N=Actinia bermudensis,C=Maroon anemone
396,N=Actinomycetospora chiangmaiensis (strain DSM 45062 / JCM 15998 / NBRC 104400 / YIM 0006),unknown
397,N=Actinobacillus capsulatus,unknown
398,N=Actinidia chinensis var. chinensis,C=Chinese soft-hair kiwi
399,N=Actinidia chinensis,C=Kiwi
400,N=Actinodium cunninghamii,C=Albany daisy
401,N=Actinoalloteichus cyanogriseus,unknown
402,N=Actinidia deliciosa,C=Kiwi
403,N=Actinopyga echinites,C=Deep-water redfish
404,N=Actinia equina,C=Beadlet anemone
405,N=Actinidia eriantha,C=Velvet vine
406,N=Actinobacillus equuli,unknown
407,N=Actinomadura flavalba,unknown
408,N=Actinia fragacea,C=Strawberry anemone
409,N=Actinoplanes garbadinensis,unknown
410,N=Actinopolyspora halophila,unknown
411,N=Actinotus helianthi,C=Flannel flower
412,N=Actitis hypoleucos,C=Common sandpiper
413,N=Actinomadura kijaniata,unknown
414,N=Actinoplanes liguriensis,unknown
415,N=Actinobacillus lignieresii,unknown
416,N=Actias luna,C=Luna moth
417,N=Actinoplanes missouriensis (strain ATCC 14538 / DSM 43046 / CBS 188.64 / JCM 3121 / NBRC 102363 / NCIMB 12654 / NRRL B-3342 / UNCC 431),unknown
418,N=Actitis macularius,C=Spotted sandpiper
419,N=Actinosynnema mirum (strain ATCC 29888 / DSM 43827 / JCM 3225 / NBRC 14064 / NCIMB 13271 / NRRL B-12336 / IMRU 3971 / 101),unknown
420,N=Actinoplanes missouriensis,unknown
421,N=Actinopolyspora mortivallis,unknown
422,N=Actinemys marmorata,C=Western pond turtle
423,N=Actinomyces naeslundii,unknown
424,N=Actinomyces naeslundii (strain ATCC 12104 / DSM 43013 / CCUG 2238 / JCM 8349 / NCTC 10301 / Howell 279),unknown
425,N=Actinomadura namibiensis,unknown
426,N=Actinobacillus pleuropneumoniae serotype 5b (strain L20),unknown
427,N=Actinobacillus pleuropneumoniae serotype 7 (strain AP76),unknown
428,N=Actinosynnema pretiosum subsp. auranticum,unknown
429,N=Actinobacillus pleuropneumoniae serotype 3 (strain JL03),unknown
430,N=Actinobacillus pleuropneumoniae,unknown
431,N=Actaea racemosa,C=Black cohosh
432,N=Actinomyces radicidentis,unknown
433,N=Actinoplanes sp. (strain ATCC 31351 / 3876),unknown
434,N=Actinoplanes sp. (strain ATCC 31044 / CBS 674.73 / SE50/110),unknown
435,N=Actinobacillus succinogenes,unknown
436,N=Actinopyga spinea,C=New Caledonia blackfish
437,N=Actinomycete sp. (strain K97-0003),unknown
438,N=Actinomycete sp. (strain L585-6 / ATCC 53650),unknown
439,N=Actinomadura sp. (strain R39),unknown
440,N=Actinobacillus suis,unknown
441,N=Actinomyces sp.,unknown
442,N=Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 / 130Z),unknown
443,N=Actinia tenebrosa,C=Australian red waratah sea anemone
444,N=Actinoplanes teichomyceticus,unknown
445,N=Actinoplanes utahensis,unknown
446,N=Actinomyces viscosus,unknown
447,N=Actineria villosa,C=Okinawan sea anemone
448,N=Acuticosta chinensis,C=Freshwater mussel
449,N=Acutisoma longipes,C=Neotropical harvestman
450,N=Aculamprotula scripta,C=Freshwater mussel
451,N=Acyrthosiphon kondoi,C=Blue alfalfa aphid
452,N=Acyrthosiphon magnoliae,C=Aphid
453,N=Acyrthosiphon pisum,C=Pea aphid
454,N=Acytolepis puspa,C=Common hedge blue butterfly
455,N=Acytostelium subglobosum,C=Slime mold
456,N=Human adenovirus C serotype 1 (strain Adenoid 71),C=HAdV-1
457,N=Adalia bipunctata,C=Two-spotted ladybird beetle
458,N=Adalia decempunctata,C=Ten-spotted ladybird beetle
459,N=Adansonia digitata,C=Baobab tree
460,N=Adansonia gregorii,C=Australian baobab tree
461,N=Adansonia grandidieri,C=Madagascan baobab tree
462,N=Adamsia palliata,C=Cloak anemone
463,N=Adansonia rubrostipa,C=Malagasy baobab tree
464,N=Adansonia za,C=Baobab tree
465,N=Addax nasomaculatus,C=Addax
466,N=Human adenovirus C serotype 1,C=HAdV-1
467,N=Human adenovirus C serotype 2,C=HAdV-2
468,N=Human adenovirus B serotype 3,C=HAdV-3
469,N=Human adenovirus E serotype 4,C=HAdV-4
470,N=Human adenovirus C serotype 5,C=HAdV-5
471,N=Human adenovirus C serotype 6,C=HAdV-6
472,N=Human adenovirus B serotype 7,C=HAdV-7
473,N=Human adenovirus D serotype 8,C=HAdV-8
474,N=Human adenovirus D serotype 9,C=HAdV-9
475,N=Human adenovirus A serotype 12,C=HAdV-12
476,N=Human adenovirus D serotype 15,C=HAdV-15
477,N=Human adenovirus B serotype 16,C=HAdV-16
478,N=Human adenovirus D serotype 17,C=HAdV-17
479,N=Human adenovirus A serotype 18,C=HAdV-18
480,N=Human adenovirus B serotype 11 (strain BC34),C=HAdV-11
481,N=Human adenovirus D serotype 15/H9,C=HAdV-15/H9
482,N=Human adenovirus B serotype 11 (strain Slobiski),C=HAdV-11
483,N=Human adenovirus A serotype 31,C=HAdV-31
484,N=Human adenovirus B serotype 35,C=HAdV-35
485,N=Human adenovirus F serotype 40,C=HAdV-40
486,N=Human adenovirus F serotype 41,C=HAdV-41
487,N=Adelges abietis,C=Eastern spruce gall aphid
488,N=Adenostyles alpina,C=Alpine plantain
489,N=Adenomera andreae,C=Lowland tropical bullfrog
490,N=Bovine adenovirus 2,C=BAdV-2
491,N=Bovine adenovirus B serotype 3,C=BAdV-3
492,N=Bovine adenovirus 4,C=BAdV-4
493,N=Bovine adenovirus 7,C=BAdV-7
494,N=Bovine adenovirus C serotype 10,C=BAdV-10
495,N=Adelpha bredowii,C=Bredow's sister butterfly
496,N=Canine adenovirus serotype 2,C=CAdV-2
497,N=Adelpha californica,C=California sister butterfly
498,N=Canine adenovirus serotype 1 (strain CLL),C=CAdV-1
499,N=Canine adenovirus serotype 1 (strain Glaxo),C=CAdV-1
500,N=Adelges cooleyi,C=Cooley spruce gall adelgid
501,N=Canine adenovirus serotype 1 (strain RI261),C=CAdV-1
502,N=Canine adenovirus serotype 2 (strain Toronto A 26-61),C=CAdV-2
503,N=Canine adenovirus serotype 1 (strain Utrecht),C=CAdV-1
504,N=Adenia digitata,C=Wild granadilla
505,N=Equine adenovirus A serotype 1,C=EAdV-1
506,N=Equine adenovirus B serotype 2,C=EAdV-2
